Scene ID,Safety Score,Realism Score,Comfort Score,Test Score,Final Score,Is Out Dynamic,Planner Avg Score,Is Valid Submit
8_6_4_298,30,6.01,7.19,20.08,63.27,0,84.78,1
8_6_4_421,30,6.75,6.33,20.02,63.1,0,91.59,1
8_6_4_464,0,0,0,0,0,1,0,1
8_71_straight_straight_75,30,8.5,5.26,0.0,43.76,0,86.75,1
8_78_straight_in_adjacent_left_92,0,0,0,0,0,1,0,1
8_7_1_138,30,6.94,5.9,0.0,42.84,0,87.23,1
8_7_1_262,30,9.94,4.43,20.0,64.38,0,80.27,1
8_7_1_300,0,6.08,5.53,0,11.62,0,86.56,1
8_7_1_307,30,9.59,4.72,20.06,64.37,0,94.05,1
8_7_1_310,30,6.74,6.67,2.0,45.41,0,78.14,1
8_7_1_408,0,0,0,0,0,1,0,1
8_7_1_410,0,0,0,0,0,1,0,1
8_7_1_441,30,4.33,8.11,20.02,62.47,0,85.23,1
8_7_1_498,30,5.75,4.03,21.85,61.62,0,64.57,1
8_7_1_514,0,0,0,0,0,1,0,1
8_7_1_516,30,3.06,8.0,20.03,61.09,0,93.41,1
8_7_1_563,30,7.69,4.32,2.0,44.01,0,77.31,1
8_7_1_584,30,20.0,8.0,20.13,78.13,0,88.35,1
8_7_2_247,30,8.38,7.71,20.02,66.11,0,95.9,1
8_7_2_330,30,20.0,10.0,20.01,80.01,0,87.89,1
8_7_2_373,0,0,0,0,0,1,0,1
8_7_2_395,30,9.19,4.19,0.0,43.38,0,86.13,1
8_7_2_406,30,20.0,10.0,20.02,80.02,0,90.23,1
8_7_2_420,0,5.23,6.02,0,11.25,0,76.84,1
8_7_2_506,30,6.26,8.48,0.0,44.74,0,91.73,1
8_96_straight_straight_101,0,0,0,0,0,1,0,1
8_99_straight_straight_106,0,7.48,5.78,0,13.26,0,86.49,1
8_9_1_493,30,6.64,6.93,0.0,43.56,0,90.34,1
8_9_2_83,0,6.86,6.61,0,13.48,0,86.55,1
8_9_4_142,0,6.64,6.64,0,13.28,0,90.94,1
8_9_4_233,0,0,0,0,0,1,0,1
9_117_straight_straight_119,0,0,0,0,0,1,0,1
9_118_straight_in_adjacent_left_121,0,0,0,0,0,1,0,1
9_120_straight_in_opposite_left_121,0,0,0,0,0,1,0,1
9_133_left_straight_in_adjacent_137,0,6.64,6.35,0,12.99,0,51.42,1
9_13_straight_straight_15,0,8.46,5.41,0,13.87,0,90.19,1
9_20_straight_straight_21,0,0,0,0,0,1,0,1
9_21_straight_straight_23,30,8.26,5.58,22.39,66.24,0,68.77,1
9_23_straight_in_adjacent_left_25,0,7.92,5.5,0,13.42,0,87.0,1
9_28_straight_in_adjacent_left_35,0,7.36,6.05,0,13.41,0,90.36,1
9_31_straight_in_adjacent_left_35,0,8.0,5.05,0,13.05,0,88.8,1
9_37_straight_in_opposite_left_45,30,9.13,5.7,20.93,65.75,0,65.45,1
9_3_straight_straight_7,0,7.18,5.06,0,12.24,0,82.89,1
9_40_straight_straight_46,0,0,0,0,0,1,0,1
9_58_left_straight_in_opposite_59,0,7.3,6.17,0,13.48,0,79.86,1
9_5_straight_in_adjacent_left_9,0,7.7,5.03,0,12.73,0,71.54,1
